1000-TURN LATENCY TEST RESULTS
================================================================================

User ID: latency_test_user
Total Time: 574.59 seconds
Total Memories: 40

PROCESSING LATENCIES - Extract + Store (ms):
Mean: 574.57
Median: 349.74
P95: 1333.14
P99: 1681.41

RETRIEVAL LATENCIES - Search + Rank (ms):
Mean: 293.90
Median: 296.07
P95: 378.58
P99: 426.19

DETAILED TURN DATA:
Turn     Process (ms)    Retrieve (ms)  
469      428.77          322.64         
470      591.08          294.16         
471      332.40          299.33         
472      406.55          334.89         
473      1234.79         305.56         
474      306.44          305.41         
475      266.93          266.93         
476      275.30          274.27         
477      308.76          308.76         
478      380.79          348.90         
479      297.76          296.65         
480      346.18          303.82         
481      384.97          356.84         
482      373.88          330.96         
483      1149.63         298.22         
484      986.17          315.85         
485      295.00          293.97         
486      304.02          303.60         
487      294.34          293.34         
488      376.13          335.08         
489      540.79          311.51         
490      952.46          296.62         
491      328.46          290.99         
492      326.63          324.61         
493      1179.30         329.01         
494      316.65          314.64         
495      981.80          331.81         
496      293.00          290.91         
497      863.49          318.87         
498      407.93          375.26         
499      318.82          317.14         
500      484.60          347.14         
501      332.21          293.73         
502      1213.35         339.87         
503      972.07          314.68         
504      822.27          306.76         
505      289.70          288.70         
506      276.11          274.13         
507      314.86          314.86         
508      1625.89         321.02         
509      421.17          277.53         
510      525.97          280.59         
511      295.51          269.14         
512      1297.37         276.54         
513      1011.19         378.20         
514      271.17          270.00         
515      258.68          257.34         
516      258.06          258.06         
517      263.26          263.26         
518      325.92          286.18         
519      275.50          274.49         
520      329.72          293.45         
521      304.87          283.07         
522      510.06          276.79         
523      882.26          288.91         
524      660.65          268.78         
525      254.81          253.80         
526      271.68          270.12         
527      264.72          263.70         
528      318.19          276.38         
529      1031.68         307.75         
530      977.14          269.82         
531      297.86          270.74         
532      360.57          307.84         
533      1220.32         280.29         
534      287.24          286.23         
535      794.93          280.07         
536      271.30          270.26         
537      248.43          247.42         
538      309.42          276.71         
539      299.67          298.36         
540      474.83          334.08         
541      283.61          252.51         
542      343.86          310.87         
543      1161.77         305.86         
544      906.84          279.77         
545      250.03          249.03         
546      262.66          261.46         
547      257.28          255.67         
548      359.50          326.37         
549      452.55          326.41         
550      498.90          285.34         
551      327.24          288.86         
552      277.07          276.03         
553      920.34          285.22         
554      290.16          288.62         
555      253.17          253.17         
556      282.04          281.03         
557      884.24          372.79         
558      1469.00         296.57         
559      271.39          271.39         
560      338.18          308.35         
561      273.32          250.12         
562      1012.49         288.64         
563      1273.65         281.96         
564      897.97          280.28         
565      294.67          293.46         
566      277.69          276.07         
567      288.03          285.52         
568      353.33          311.57         
569      676.18          302.52         
570      1066.53         306.07         
571      320.63          274.96         
572      1254.91         352.64         
573      1429.93         343.14         
574      304.72          303.09         
575      871.69          317.45         
576      301.03          301.03         
577      290.88          290.88         
578      339.32          316.68         
579      325.95          324.92         
580      451.50          318.46         
581      323.59          284.28         
582      676.78          298.29         
583      1066.72         327.86         
584      685.27          297.04         
585      269.42          269.42         
586      270.64          268.86         
587      327.88          327.88         
588      333.11          298.07         
589      416.87          311.49         
590      528.29          297.04         
591      318.58          278.98         
592      454.31          386.52         
593      1103.30         284.84         
594      275.76          274.76         
595      268.92          267.88         
596      315.08          314.08         
597      283.44          278.83         
598      324.11          286.59         
599      280.81          278.80         
600      300.47          267.18         
601      319.97          286.85         
602      352.00          307.73         
603      1316.94         306.00         
604      2405.30         304.94         
605      254.75          252.51         
606      263.35          262.36         
607      275.27          275.27         
608      1556.95         304.94         
609      502.54          251.76         
610      837.77          252.84         
611      354.56          289.46         
612      267.12          266.10         
613      879.94          270.16         
614      292.18          291.65         
615      735.40          263.90         
616      248.74          248.74         
617      949.20          294.47         
618      360.89          292.29         
619      310.18          307.10         
620      518.27          366.56         
621      393.80          344.69         
622      1570.70         319.62         
623      912.56          276.56         
624      801.38          363.16         
625      274.79          274.72         
626      279.75          279.75         
627      268.87          267.87         
628      332.77          304.24         
629      444.88          312.37         
630      729.85          298.73         
631      300.05          279.35         
632      1009.18         270.21         
633      1155.55         308.65         
634      270.14          267.93         
635      268.65          267.08         
636      265.74          264.70         
637      280.75          279.73         
638      346.91          307.36         
639      281.48          280.49         
640      319.92          275.74         
641      280.91          258.29         
642      551.83          303.37         
643      995.98          288.04         
644      974.74          293.24         
645      335.64          335.64         
646      252.35          251.27         
647      290.80          289.81         
648      343.53          302.91         
649      488.84          302.67         
650      1026.22         300.27         
651      320.73          300.53         
652      361.29          292.09         
653      1232.40         265.02         
654      295.63          286.37         
655      1077.80         306.48         
656      267.85          266.19         
657      282.15          280.49         
658      1403.33         309.81         
659      243.05          242.05         
660      380.45          250.25         
661      257.12          221.96         
662      340.26          236.73         
663      1326.88         316.81         
664      920.02          259.96         
665      217.02          215.76         
666      229.84          228.49         
667      288.29          287.03         
668      309.22          284.67         
669      405.90          275.03         
670      488.67          261.06         
671      281.76          245.60         
672      226.03          225.01         
673      904.65          261.40         
674      240.24          238.62         
675      230.00          228.39         
676      231.48          230.38         
677      907.13          254.70         
678      333.67          289.65         
679      258.65          257.64         
680      277.12          238.21         
681      277.21          232.53         
682      1087.21         272.92         
683      843.29          263.85         
